path,source,track_id,duration_sec,num_codebooks,num_frames,sample_rate,frame_rate,bandwidth_kbps,split,stage,exclusion_reason
slakh/train_000.pt,slakh,Track00655,187.9887528344671,32,14100,24000,75,24.0,train,pretrain,
slakh/train_001.pt,slakh,Track00097,190.83319727891157,32,14313,24000,75,24.0,train,pretrain,
slakh/train_002.pt,slakh,Track01401,225.30321995464854,32,16898,24000,75,24.0,train,pretrain,
slakh/train_003.pt,slakh,Track00418,294.6263945578231,32,22097,24000,75,24.0,train,pretrain,
slakh/train_004.pt,slakh,Track00060,244.06494331065758,32,18305,24000,75,24.0,train,pretrain,
slakh/train_005.pt,slakh,Track00863,310.0560544217687,32,23255,24000,75,24.0,train,pretrain,
slakh/train_006.pt,slakh,Track01440,300.72163265306125,32,22555,24000,75,24.0,train,pretrain,
slakh/train_007.pt,slakh,Track00751,249.03401360544217,32,18678,24000,75,24.0,train,pretrain,
slakh/train_008.pt,slakh,Track01346,294.02267573696145,32,22052,24000,75,24.0,train,pretrain,
slakh/train_009.pt,slakh,Track01327,232.3504761904762,32,17427,24000,75,24.0,train,pretrain,
slakh/train_010.pt,slakh,Track00968,251.04253968253968,32,18829,24000,75,24.0,train,pretrain,
slakh/train_011.pt,slakh,Track01298,205.902947845805,32,15443,24000,75,24.0,train,pretrain,
slakh/train_012.pt,slakh,Track00036,211.75437641723357,32,15882,24000,75,24.0,train,pretrain,
slakh/train_013.pt,slakh,Track00294,273.02022675736964,32,20477,24000,75,24.0,train,pretrain,
slakh/train_014.pt,slakh,Track01390,259.92417233560093,32,19495,24000,75,24.0,train,pretrain,
slakh/train_015.pt,slakh,Track01069,252.2615873015873,32,18920,24000,75,24.0,train,pretrain,
slakh/train_016.pt,slakh,Track00159,258.9953741496599,32,19425,24000,75,24.0,train,pretrain,
slakh/train_017.pt,slakh,Track00636,234.86984126984126,32,17616,24000,75,24.0,train,pretrain,
slakh/train_018.pt,slakh,Track01119,226.90539682539682,32,17018,24000,75,24.0,train,pretrain,
slakh/train_019.pt,slakh,Track00867,215.0051700680272,32,16126,24000,75,24.0,train,pretrain,
slakh/train_020.pt,slakh,Track00747,299.0033560090703,32,22426,24000,75,24.0,train,pretrain,
slakh/train_021.pt,slakh,Track00473,350.00598639455785,32,26251,24000,75,24.0,train,pretrain,
slakh/train_022.pt,slakh,Track01468,226.3481179138322,32,16977,24000,75,24.0,train,pretrain,
slakh/train_023.pt,slakh,Track01489,263.3026757369615,32,19748,24000,75,24.0,train,pretrain,
slakh/train_024.pt,slakh,Track01118,297.64498866213154,32,22324,24000,75,24.0,train,pretrain,
slakh/train_025.pt,slakh,Track00941,280.5899319727891,32,21045,24000,75,24.0,train,pretrain,
slakh/train_026.pt,slakh,Track00033,239.11909297052154,32,17934,24000,75,24.0,train,pretrain,
slakh/train_027.pt,slakh,Track00493,195.221768707483,32,14642,24000,75,24.0,train,pretrain,
slakh/train_028.pt,slakh,Track01398,191.83165532879818,32,14388,24000,75,24.0,train,pretrain,
slakh/train_029.pt,slakh,Track00127,212.9037641723356,32,15968,24000,75,24.0,val,pretrain,
slakh/train_030.pt,slakh,Track00176,269.27020408163264,32,20196,24000,75,24.0,train,pretrain,
slakh/train_031.pt,slakh,Track00648,323.89514739229026,32,24293,24000,75,24.0,train,pretrain,
slakh/train_032.pt,slakh,Track00500,299.1310657596372,32,22435,24000,75,24.0,train,pretrain,
slakh/train_033.pt,slakh,Track00194,202.54766439909298,32,15192,24000,75,24.0,train,pretrain,
slakh/train_034.pt,slakh,Track01094,296.4956009070295,32,22238,24000,75,24.0,val,pretrain,
slakh/train_035.pt,slakh,Track00133,230.26068027210886,32,17270,24000,75,24.0,train,pretrain,
slakh/train_036.pt,slakh,Track00439,233.88299319727892,32,17542,24000,75,24.0,train,pretrain,
slakh/train_037.pt,slakh,Track01174,302.741768707483,32,22706,24000,75,24.0,train,pretrain,
slakh/train_038.pt,slakh,Track00088,231.9673469387755,32,17398,24000,75,24.0,train,pretrain,
slakh/train_039.pt,slakh,Track01473,286.9638095238095,32,21523,24000,75,24.0,train,pretrain,
slakh/train_040.pt,slakh,Track00828,256.8707482993197,32,19266,24000,75,24.0,train,pretrain,
slakh/train_041.pt,slakh,Track00200,237.62140589569162,32,17822,24000,75,24.0,train,pretrain,
slakh/train_042.pt,slakh,Track00875,208.7241723356009,32,15655,24000,75,24.0,train,pretrain,
slakh/train_043.pt,slakh,Track00087,230.81795918367348,32,17312,24000,75,24.0,val,pretrain,
slakh/train_044.pt,slakh,Track00736,201.4331065759637,32,15108,24000,75,24.0,train,pretrain,
slakh/train_045.pt,slakh,Track00037,271.2322902494331,32,20343,24000,75,24.0,train,pretrain,
slakh/train_046.pt,slakh,Track00481,268.1556462585034,32,20112,24000,75,24.0,train,pretrain,
slakh/train_047.pt,slakh,Track00255,240.81414965986394,32,18062,24000,75,24.0,train,pretrain,
slakh/train_048.pt,slakh,Track00421,365.0060770975057,32,27376,24000,75,24.0,train,pretrain,
slakh/train_049.pt,slakh,Track00219,310.4159637188209,32,23282,24000,75,24.0,train,pretrain,
slakh/train_050.pt,slakh,Track00818,370.00997732426305,32,27751,24000,75,24.0,train,pretrain,
slakh/train_051.pt,slakh,Track00165,303.5312471655329,32,22765,24000,75,24.0,train,pretrain,
slakh/train_052.pt,slakh,Track01016,263.1285260770975,32,19735,24000,75,24.0,train,pretrain,
slakh/train_053.pt,slakh,Track00479,255.54721088435375,32,19167,24000,75,24.0,val,pretrain,
slakh/train_054.pt,slakh,Track00599,229.9936507936508,32,17250,24000,75,24.0,train,pretrain,
slakh/train_055.pt,slakh,Track01284,227.92707482993197,32,17095,24000,75,24.0,val,pretrain,
slakh/train_056.pt,slakh,Track00419,280.60154195011336,32,21046,24000,75,24.0,train,pretrain,
slakh/train_057.pt,slakh,Track00713,294.8121541950113,32,22111,24000,75,24.0,train,pretrain,
slakh/train_058.pt,slakh,Track00297,206.63437641723357,32,15498,24000,75,24.0,train,pretrain,
